"DataSource","USGS_or_Durham_station_ID","Sample_date","Sample_time","Instantaneous_flow_cfs","Daily_mean_flow_cfs","Dissolved_oxygen_mg.L","pH_standard_units","Specific_conductance_uS.cm_25C","Water_temperature_C","Turbidity_unfiltered_NTU","Ammonia.organicN_unfiltered_mg.L_N","Nitrate.nitrite_unfiltered_mg.L_N","Nitrate.nitrite_filtered_mg.L_.N","Total.nitrogen_computed_mg.L_N","Total_nitrogen_measured_mg.L_N","Phosphorus_unfiltered_mg.L_P","year"
"USGS","209722970",2017-03-14,240,55,"24.4",NA,"--",180,NA,"76","0.76","--","0.33",1.09,"--",0.16,"2017"
"City of Durham","NH3.3SC",2017-03-22,900,1.67,"1.83",NA,"7.3",376,13.1,"8.4","2.84","E0.09","--",2.93,"--",0.16,"2017"
"City of Durham","NH3.3SC",2017-04-19,900,1.39,"1.38",5.5,"7.2",374,16,"5.3","0.54","0.1","--",0.64,"--",0.06,"2017"
"USGS","209722970",2017-04-25,205,571,"212",NA,"--",63,NA,"290","1.3","--","0.35",1.65,"--",0.345,"2017"
"USGS","209722970",2017-05-05,550,527,"76.6",NA,"--",72,NA,">1000","2.8","--","0.2",3,"--",1.14,"2017"
"USGS","209722970",2017-05-24,2020,78,"18.4",NA,"--",147,NA,"150","1.1","--","0.38",1.48,"--",0.351,"2017"
"USGS","209722970",2017-05-25,440,246,"46.1",NA,"--",81,NA,"440","1.9","--","0.22",2.12,"--",0.693,"2017"
"USGS","209722970",2017-06-05,2115,166,"33.3",NA,"--",94,NA,"380","1.8","--","0.26",2.06,"--",0.468,"2017"
"USGS","209722970",2017-06-17,1513,341,"38",NA,"--",46,NA,"900","2.5","--","0.17",2.67,"--",0.654,"2017"
"USGS","209722970",2017-06-20,250,424,"78.5",NA,"--",53,NA,"330","1.5","--","0.23",1.73,"--",0.468,"2017"
"USGS","209722970",2017-06-26,1410,1.2,"1.13",NA,"--",156,NA,"11","0.57","--","0.19",0.76,"--",0.084,"2017"
"USGS","209722970",2017-07-08,1959,70,"11.6",NA,"--",83,NA,"280","1.2","--","0.33",1.53,"--",0.332,"2017"
